code,name,description,refreshed_at,from_date,to_date
1INCHUSD,1IN/CH:USD Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2021-07-18 23:18:52,2021-05-07,2021-07-18
1INCHUST,1IN/CH:UST Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2021-07-18 23:18:52,2021-05-07,2021-07-18
AAABBB,AAA/BBB Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2021-07-18 23:18:52,2020-06-24,2021-07-18
AAVEUSD,AAV/E:USD Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2021-07-18 23:18:52,2021-02-03,2021-07-18
AAVEUST,AAV/E:UST Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2021-07-18 23:18:52,2021-02-03,2021-07-18
ABSETH,ABS/ETH Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2020-03-25 23:23:03,2018-08-09,2020-03-25
ABSUSD,ABS/USD Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2020-12-15 00:17:42,2018-08-09,2020-12-14
ADABTC,ADA/BTC Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2021-07-18 23:18:52,2020-08-06,2021-07-18
ADAF0USTF0,ADA/F0:USTF0 Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2021-07-18 23:18:52,2021-02-03,2021-07-18
ADAUSD,ADA/USD Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2021-07-18 23:18:52,2020-08-06,2021-07-18
ADAUST,ADA/UST Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2021-07-18 23:18:52,2020-08-06,2021-07-18
AGIBTC,AGI/BTC Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2020-03-25 23:23:03,2018-07-05,2020-03-25
AGIETH,AGI/ETH Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2020-03-25 23:23:03,2018-07-05,2020-03-25
AGIUSD,AGI/USD Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2020-12-15 00:17:42,2018-07-05,2020-12-14
AIDBTC,AID/BTC Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2020-03-14 23:27:31,2018-07-05,2020-03-14
